year,India,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Andaman and Nicobar Islands,Chandigarh,Delhi,Puducherry
2012,8736039,379402,"11,063",143175,247144,158074,"42,367",615606,297539,"72,720","78,256",150918,584016,364048,315562,1280369,"12,915","19,918","7,259","12,177",230987,266628,434837,"11,165",751486,359434,"19,208",724050,115328,520485,"3,978","18,768",343798,"16,818"
2013,9946636,411404,"12,547",156864,282368,177511,"38,120",724495,347032,"82,820","87,138",174724,606048,412313,380925,1459629,"13,743","21,872","8,362","14,121",261700,297734,493551,"12,338",854825,401594,"21,663",822393,131613,591464,"4,421","21,609",391388,"18,875"
2014,11236635,464272,"14,581",177745,317101,206833,"35,921",807623,399268,"94,764","95,619",188567,695413,465041,439483,1649647,"16,182","22,938","10,293","16,612",296475,332147,561031,"13,862",968530,451580,"25,593",940356,149074,676848,"5,023","24,822",443960,"21,870"
2015,12433749,524976,"17,959",195723,342951,221118,"47,814",921773,437145,103772,"98,370",218525,816666,512564,479939,1779138,"18,129","23,235","13,509","18,401",314250,355102,615642,"15,407",1072678,505849,"29,533",1011790,161439,718082,"5,477","26,549",494803,"22,574"
2016,13675331,604229,"18,509",227959,371602,227383,"55,054",1029010,495249,114239,117168,206613,913923,561994,541189,1966147,"19,531","25,117","15,139","19,524",328550,390087,681485,"18,034",1176500,577902,"35,938",1137210,177163,797300,"6,032","29,280",550804,"26,617"
2017,15251028,697508,"19,627",254478,422316,254722,"63,460",1153327,556325,125634,125379,236250,1045168,634871,648849,2188532,"21,294","27,439","17,192","21,722",393808,426988,758809,"20,687",1302639,659033,"39,612",1248374,195125,872527,"6,836","32,741",615605,"29,573"
2018,17095005,809547,"22,045",288494,484740,284194,"70,493",1314680,626054,140613,138488,276243,1209136,700532,728242,2411600,"23,968","30,790","19,457","24,281",436374,479141,835558,"23,495",1461841,753811,"46,133",1376324,222836,999585,"7,871","38,806",690098,"32,962"
2019,19010164,933402,"23,909",322510,557490,311660,"77,172",1499013,707126,153181,"145,592",307581,1350257,875514,809327,2656551,"25,338","31,034","21,473","25,894",485376,521861,929124,"26,786",1664159,865688,"49,242",1542432,245895,1177586,"8,165","39,915",779652,"36,656"
2020,21152181,1080657,"25,732",374096,572827,363900,"80,337",1701495,784910,168972,"155,546",329726,1535224,864803,962430,2979556,"27,182","32,674","23,583","27,838",540812,577829,976034,"27,805",1854239,969604,"53,778",1579807,263233,1314529,"8,790","43,017",812806,"38,410"
2021,22281925,1092329,"27,555",408112,611732,382883,"86,234",1744622,816948,"176,550","165,501",383233,1588303,931234,974475,3067975,"29,025","34,314","25,694","29,782",554510,595534,1045429,"30,046",2054000,998605,"58,315",1791000,277607,1329916,"9,416","46,118",873704,"41,225"