unemployment_region,unemployment_year,unemployment_rate_mean,unemployment_rate_min,unemployment_rate_max,employed_mean,employed_min,employed_max,lbour_participation_rate_mean,lbour_participation_rate_min,lbour_participation_rate_max
andhra pradesh,2016,7.61,4.03,17.91,19395275,18235985,21163390,52.12,46.97,62.67
andhra pradesh,2017,3.89,2.3,6.59,18196075,17233209,19480036,46.1,43.25,50.74
andhra pradesh,2018,4.63,3.65,5.79,17075486,15617337,17947085,42.85,39.37,45.93
andhra pradesh,2019,4.63,3.27,5.76,16788873,15705618,17525876,41.41,39.46,43.83
andhra pradesh,2020,9.21,3.31,20.51,15484616,11336911,19805400,39.35,33.1,47.41
assam,2016,7.42,0.65,13.02,10310291,9405383,11359949,46.94,42.74,54.01
assam,2017,8.08,2.0,12.79,10397082,9690200,11506550,46.56,43.13,52.21
assam,2018,7.0,3.58,11.19,10846136,10041204,12034894,46.85,42.39,51.77
assam,2019,5.01,0.88,6.78,11363334,9991084,13421041,46.92,39.95,55.41
assam,2020,5.54,0.6,11.06,10255723,6830817,13051904,41.72,29.55,52.98
bihar,2016,8.12,3.46,15.07,28804512,27221171,30522107,43.95,39.75,47.43
bihar,2017,3.69,1.57,5.52,28334364,27673248,29629790,40.13,38.58,41.7
bihar,2018,7.9,4.07,11.23,27452000,25722354,29478932,39.62,36.78,41.51
bihar,2019,11.42,8.69,13.8,26444257,25018247,27351666,38.68,36.99,40.08
bihar,2020,21.62,10.29,46.64,22934015,16046236,26397671,37.21,34.59,38.69
chhattisgarh,2016,4.36,2.38,7.9,8898755,8062186,10395187,46.56,41.83,53.65
chhattisgarh,2017,3.24,1.24,4.75,9092852,8588739,9830840,45.77,43.36,49.79
chhattisgarh,2018,6.04,2.06,22.24,8409853,8029058,8870407,42.61,39.46,50.13
chhattisgarh,2019,6.4,3.44,9.8,8869222,8346885,9340935,43.76,41.35,46.42
chhattisgarh,2020,8.7,3.41,14.23,8330598,6991217,9302317,41.21,35.23,45.59
delhi,2016,11.26,6.3,17.3,5449989,4829996,5954845,43.51,38.78,47.48
delhi,2017,6.31,2.11,12.09,5321648,5108559,5623114,39.16,36.6,42.07
delhi,2018,7.68,1.57,12.49,5469332,5137138,5900135,39.72,35.75,43.41
delhi,2019,13.2,8.37,20.38,5741118,5456349,6179875,43.06,40.11,47.16
delhi,2020,20.67,13.79,42.27,4565893,2632404,5856307,36.33,23.8,47.79
goa,2016,10.68,5.11,16.04,600956,582685,623983,55.11,53.29,58.01
goa,2017,7.7,2.83,12.38,598026,571857,622399,52.42,48.69,57.46
goa,2018,4.82,2.14,7.17,568381,540168,597612,47.63,44.76,50.83
goa,2019,9.34,2.82,24.66,462182,426879,509668,40.25,34.81,44.8
goa,2020,11.84,2.81,21.25,450805,378244,500614,39.9,33.88,44.97
gujarat,2016,2.92,1.28,5.04,22175819,21120270,23071104,47.08,45.78,48.98
gujarat,2017,2.97,1.33,5.4,22019381,21125763,22728175,45.7,44.05,47.19
gujarat,2018,5.19,2.93,9.53,22407705,20769407,23778766,46.51,43.18,48.88
gujarat,2019,4.83,3.0,6.15,23882458,22889629,24383939,48.26,46.67,49.41
gujarat,2020,7.04,1.84,18.71,22040875,15288878,24757795,44.5,35.5,50.11
haryana,2016,11.35,6.67,15.38,7877150,7361348,8213227,43.69,41.0,46.62
haryana,2017,7.93,1.76,19.57,7570294,7179748,7950912,39.55,35.29,43.74
haryana,2018,17.69,12.76,24.51,7501500,7185680,7813868,42.61,39.74,44.44
haryana,2019,22.02,17.89,28.68,7435279,7081312,7942782,43.46,40.27,45.06
haryana,2020,28.47,20.34,43.22,6826200,5647630,7693231,42.65,39.63,47.32
himachal pradesh,2016,3.71,0.92,9.83,2239436,1982465,2335451,41.25,36.85,44.28
himachal pradesh,2017,4.35,0.49,14.53,2338670,2256791,2462377,42.6,40.23,47.77
himachal pradesh,2018,14.95,9.64,19.09,2248465,2179385,2334024,45.13,41.42,48.68
himachal pradesh,2019,17.32,12.63,23.34,2221483,2152718,2298753,44.98,42.03,48.87
himachal pradesh,2020,16.89,2.2,26.95,1997175,1131128,2287632,40.12,19.04,48.25
india,2016,8.29,6.4,9.65,406117011,397037060,418463537,46.69,44.87,48.47
india,2017,4.51,3.37,5.93,406548308,402701002,409132411,43.85,42.87,45.26
india,2018,6.02,5.01,7.02,401369335,396084619,405980615,42.95,42.46,43.77
india,2019,7.38,6.65,8.19,403145632,399248195,406718757,42.76,42.3,43.29
india,2020,11.86,7.22,23.52,371265174,282203816,410473913,40.43,35.57,42.9
jammu & kashmir,2016,20.25,10.49,29.92,3388779,2966999,3865037,44.95,41.1,52.25
jammu & kashmir,2017,12.92,7.33,21.7,3500425,3181602,3773189,41.45,35.67,47.01
jammu & kashmir,2018,11.55,7.95,15.13,3576622,3277483,3795073,40.56,38.2,42.85
jammu & kashmir,2019,16.3,10.62,22.45,3675592,3365012,4574768,42.91,40.56,50.52
jammu & kashmir,2020,16.57,10.88,21.08,3353330,3202336,3558889,38.53,36.66,42.2
jharkhand,2016,7.77,1.88,13.05,9440274,8064211,10355816,42.24,38.75,46.71
jharkhand,2017,4.46,1.58,8.51,9561358,9133860,9908475,40.27,37.28,42.28
jharkhand,2018,8.99,6.42,11.56,9485981,9270173,9872147,40.84,39.87,41.74
jharkhand,2019,11.41,6.88,16.98,9599637,9163609,10221435,41.35,40.12,42.97
jharkhand,2020,21.92,7.63,59.23,8402309,4145385,10425425,39.93,37.69,44.4
karnataka,2016,5.28,3.07,11.49,23382914,22105452,25360227,48.49,45.17,52.4
karnataka,2017,2.37,1.04,6.66,23998681,22164647,25540685,47.17,43.04,51.96
karnataka,2018,2.14,1.21,3.97,23146381,21631436,24678751,44.33,40.58,47.58
karnataka,2019,2.58,0.53,5.88,21630736,20151048,23072967,40.66,37.35,43.96
karnataka,2020,9.09,0.5,29.84,21719576,16718395,24215057,42.88,40.54,47.29
kerala,2016,15.21,5.13,23.53,10101505,9526044,10626380,44.12,40.32,49.54
kerala,2017,8.91,4.37,12.28,9834515,9365767,10257733,39.44,36.72,42.85
kerala,2018,7.48,4.26,10.41,9572082,7768045,10235045,37.34,31.26,40.44
kerala,2019,7.23,5.43,9.19,9622260,8620674,10283997,37.04,32.54,39.91
kerala,2020,10.57,5.31,17.88,8446769,3933276,9904534,33.21,16.77,37.71
madhya pradesh,2016,6.56,2.86,11.82,22351880,20296986,25565126,43.1,39.03,49.33
madhya pradesh,2017,2.5,1.18,4.88,22994292,20990867,24586573,41.41,37.93,43.88
madhya pradesh,2018,4.45,2.02,7.29,22135106,21424091,23016950,39.63,38.14,41.83
madhya pradesh,2019,4.79,3.38,6.47,22701611,21924819,23664352,39.71,38.26,41.06
madhya pradesh,2020,7.69,2.22,21.98,22087106,18443927,23940158,38.95,35.45,40.88
maharashtra,2016,6.48,3.69,9.92,43420161,41175830,46570690,49.78,46.77,51.99
maharashtra,2017,4.33,2.7,7.96,44652371,43449940,46291207,48.88,47.65,50.24
maharashtra,2018,3.82,3.21,4.88,43695880,41357801,45713503,46.47,43.95,49.05
maharashtra,2019,4.84,3.34,5.67,42440085,40431563,44188804,44.55,42.67,47.3
maharashtra,2020,8.89,3.89,20.9,38335848,27689253,42596868,41.02,34.32,44.19
meghalaya,2018,5.8,2.71,10.86,1188760,1067546,1305640,57.0,52.16,60.17
meghalaya,2019,2.97,1.19,6.4,1354980,1229411,1499134,61.25,57.44,66.26
meghalaya,2020,3.72,1.15,10.03,1332117,965057,1491093,59.1,45.99,65.49
odisha,2016,8.09,4.08,12.64,14309121,13731170,15149389,47.02,43.12,52.62
odisha,2017,4.02,1.56,9.37,13928651,13172723,14865796,42.95,40.65,45.93
odisha,2018,6.18,3.45,8.18,13763860,12945817,14241803,42.58,39.38,44.72
odisha,2019,4.35,2.82,6.56,13924322,13179143,14787087,41.42,39.66,43.64
odisha,2020,7.54,1.42,23.76,12445669,6865693,14280735,37.36,25.23,41.44
puducherry,2016,6.95,1.42,16.32,510534,473039,545364,49.68,45.59,56.84
puducherry,2017,3.31,1.1,6.7,499618,458240,555435,45.33,42.18,51.51
puducherry,2018,1.99,0.37,4.44,472733,421274,514995,41.05,36.15,45.21
puducherry,2019,1.53,0.0,7.47,467135,400011,504674,39.25,33.45,44.21
puducherry,2020,20.29,0.58,75.85,351561,117542,493961,35.75,30.8,40.8
punjab,2016,7.59,4.81,12.38,9742987,9262659,10112534,45.76,42.57,46.53
punjab,2017,5.61,1.83,9.15,9683472,9101741,10153038,43.6,41.36,45.22
punjab,2018,8.15,5.37,11.68,9514570,9037017,9818753,43.12,41.61,44.6
punjab,2019,10.28,7.51,12.97,9565699,9092358,9997265,43.47,42.33,44.99
punjab,2020,12.54,2.86,28.33,8756185,6872938,9975485,40.19,28.99,44.69
rajasthan,2016,6.52,3.82,11.45,19089932,17627470,20235485,39.37,35.78,41.12
rajasthan,2017,4.14,1.59,7.78,19912146,19134010,20914052,38.96,36.66,41.29
rajasthan,2018,9.74,5.36,14.87,19500665,19053973,20019460,39.45,37.67,41.6
rajasthan,2019,11.05,6.63,15.01,20261961,19802750,20594797,40.44,38.53,42.44
rajasthan,2020,14.9,10.97,17.7,19657390,15984142,20641716,40.02,33.71,41.77
sikkim,2018,9.36,4.69,12.14,248854,207652,280884,50.72,43.66,58.62
sikkim,2019,7.57,2.06,13.31,250515,218190,280086,49.07,40.04,57.97
sikkim,2020,11.96,2.28,24.51,233720,193427,265175,46.9,38.7,60.59
tamil nadu,2016,9.24,4.41,18.4,30833695,30171453,31978443,55.88,52.91,61.13
tamil nadu,2017,4.6,2.68,12.55,30467930,29487963,30962576,51.55,48.8,57.57
tamil nadu,2018,2.13,1.1,3.03,29363213,28063954,30443984,47.47,44.94,49.77
tamil nadu,2019,2.6,0.94,5.8,27873889,26967205,28694054,44.44,42.46,46.69
tamil nadu,2020,14.34,1.57,49.83,21650188,9719167,27570589,37.55,26.23,43.91
telangana,2016,5.62,3.69,8.53,16166009,13940938,17815321,59.0,51.4,66.91
telangana,2017,5.23,1.98,14.47,15588484,14134302,17750002,55.41,48.55,63.59
telangana,2018,1.61,0.44,4.0,15453393,14067425,16996261,51.71,46.91,55.79
telangana,2019,3.51,1.99,7.11,16417118,15128939,17084091,54.8,50.28,57.52
telangana,2020,7.78,5.36,14.7,15987579,12172230,18185429,54.78,41.06,60.59
tripura,2017,12.09,8.35,19.41,1317638,1218132,1468082,48.99,45.08,52.43
tripura,2018,26.03,13.55,39.1,1395848,1301630,1480505,61.42,49.7,72.36
tripura,2019,27.39,22.98,32.63,1464179,1344478,1544426,63.57,58.52,67.72
tripura,2020,27.7,18.24,41.23,1378517,971514,1584686,59.14,50.78,69.69
uttar pradesh,2016,13.26,6.64,17.98,56856549,55421160,60547730,44.44,40.1,46.83
uttar pradesh,2017,3.65,2.06,6.65,56327115,55104794,58190274,38.54,37.54,39.52
uttar pradesh,2018,5.93,3.14,11.03,56771901,56170553,57795994,38.75,37.94,40.04
uttar pradesh,2019,9.95,8.05,12.27,56929287,55641146,58497260,39.53,38.64,40.88
uttar pradesh,2020,11.18,5.56,21.54,55325204,49801902,59433759,38.14,35.96,39.73
uttarakhand,2016,1.8,0.12,4.53,3562131,2813932,4800244,45.69,35.13,61.28
uttarakhand,2017,1.15,0.0,3.86,3139157,2809832,3721353,38.99,34.72,46.46
uttarakhand,2018,2.22,0.33,5.48,2858418,2734560,3007174,34.98,32.71,37.14
uttarakhand,2019,5.16,3.53,6.52,2845981,2732098,2952837,34.99,33.78,35.89
uttarakhand,2020,10.01,4.99,19.85,2749776,2539302,3020931,34.92,32.99,38.07
west bengal,2016,7.1,4.64,9.04,31751721,30067878,33751829,45.58,43.08,48.54
west bengal,2017,5.83,4.82,7.46,33115616,31936698,34617683,45.83,44.42,47.18
west bengal,2018,7.07,5.7,8.83,34086476,32811721,35003804,46.73,45.99,48.15
west bengal,2019,6.42,6.06,7.1,35603197,34442774,36398814,47.38,46.4,48.13
west bengal,2020,10.32,4.92,17.41,32922731,26938836,36964178,44.78,39.9,47.74
